vehiculo_id,perfil_real,latitud,longitud,velocidad,aceleracion,giros_bruscos,hora_dia,es_anomalia_real
CAM-023,eficiente,-2.0358449191527974,-81.91725947160513,25.86659665277197,0.15524316291357304,1.0,23.0,0
CAM-008,urbano,-2.220763926728183,-79.32744445125134,30.951213415042346,0.43345895627890946,6.0,10.288780318063237,0
CAM-025,carretera,-1.48148813365651,-81.95928332194647,82.5197513690934,0.48334402341923094,1.0,0.0,0
CAM-038,carretera,-1.4087263635142895,-80.14213248026701,98.34534602852369,0.1118480291765116,0.0,19.11838279317673,0
CAM-016,carretera,0.5083611406178387,-80.74420589109698,74.97243865374519,0.27630819853524674,1.0,0.0,0
CAM-014,eficiente,-1.72011213500411,-80.16536314267569,28.7753466910744,0.1629309972624718,1.0,0.0,0
CAM-007,carretera,-1.151298295463756,-81.14032657010357,69.760360318084,0.41279263502400276,0.0,9.922629180478147,0
CAM-021,urbano,-1.1347459764475245,-80.68577137971276,28.66011921476029,0.7775821772503503,7.0,23.0,0
CAM-016,carretera,0.5677778780191914,-80.71584081091515,89.42222098772451,0.13334785564446983,0.0,2.790728963659109,0
CAM-037,urbano,-0.9589803305946161,-81.1996288147714,23.650936722464728,0.0,4.0,17.058838252322758,0
CAM-028,urbano,-0.34029212415029636,-79.75632335795673,23.233686801663566,0.5188993266891824,3.0,0.0,0
CAM-021,urbano,-1.1816026621532751,-80.63024080740011,27.353340304012818,0.6705941499445736,3.0,0.0,0
CAM-022,eficiente,-1.8031230729428696,-80.75777157354733,26.58080921068457,0.4957252144978994,2.0,11.027643620140037,0
CAM-004,urbano,-1.8330751393351992,-81.16620832584218,14.869275954994366,0.5884032105135532,7.0,23.0,0
CAM-026,carretera,0.32795164184287534,-81.36888439041313,86.66478632782088,0.5624892664441457,0.0,0.0,0
CAM-021,urbano,-1.1057155115144714,-80.64204904816145,21.380414353731144,0.6744333524732217,5.0,17.151301151559995,0
CAM-034,urbano,0.10306655224173752,-82.14819406725624,20.088409124798066,0.5858415149630559,1.0,2.174401437444743,0
CAM-010,eficiente,-2.0982025744384707,-81.29462121468946,49.14772890788791,0.5406508662462894,0.0,4.723586144369791,0
CAM-013,carretera,-1.9137246692102394,-80.39258556641562,69.07225895381012,,1.0,0.0,0
CAM-028,urbano,-0.4044793961531837,-79.78970662696089,24.850340037783823,0.6262537742343011,3.0,18.645708602319267,0
CAM-001,urbano,0.4634573327046922,-79.96164810293695,18.062830751603574,0.723528169102229,1.0,23.0,0
CAM-020,eficiente,-1.5084587869961592,-80.65028672347056,71.8797624380741,0.15823367008304703,1.0,5.222293420059736,0
CAM-036,eficiente,-1.3355657174244162,-81.06353869698569,63.331141483984496,0.07813660678537171,1.0,0.0,0
CAM-003,carretera,-2.071528629054379,-79.240723523792,61.32921619412126,0.3591406044250287,0.0,7.536437821205107,0
CAM-032,eficiente,-1.6310285067345016,-80.22140146827608,32.965859300288706,0.51662149810693,1.0,7.1237920204497485,0
CAM-022,eficiente,-1.8350319709736194,-80.65381073786425,39.86815619076136,0.22230519232582735,1.0,0.0,0
CAM-020,eficiente,-1.5146425399813623,-80.61390116821683,35.68478271382735,0.1854488045996745,1.0,0.0,0
CAM-011,urbano,-0.425815487376392,-79.6540987923989,10.587976027935387,0.4671591312107537,5.0,0.0,0
CAM-029,carretera,-1.9407502870407167,-81.65951674596562,82.67624363554596,0.4015731974010813,1.0,0.0,0
CAM-022,eficiente,-1.755909384500031,-80.80140000238782,27.185751004483688,0.4161984953835112,1.0,23.0,0
CAM-026,carretera,0.41917095094857476,-81.24789401290482,77.73247395600282,0.5903780888276786,0.0,0.0,0
CAM-035,carretera,0.3197404152647702,-80.19289633539672,84.01193904240229,0.27047109054329915,1.0,6.92767115833087,0
CAM-026,carretera,0.30211292197736783,-81.32480567464532,83.01980798815568,0.5666788617181416,4.0,15.551776391060097,0
CAM-034,urbano,0.2034192584761402,-82.06021859784515,17.358276236029806,0.661034636625789,0.0,9.506823506778277,0
